cn_label,Bulk tumor,Follicle,Granulocyte enriched,Immune-infiltrated stroma,Macrophage enriched,Smooth muscle,T cell enriched,Tumor boundary,Vascularized smooth muscle,nan
CN01,14,76,1461,2231,29083,120,3981,1334,3188,140
CN02,27170,0,126,12,21,12,2,2484,19,509
CN03,53,100,1519,17013,3217,102,2856,1403,3106,52
CN04,1,11573,265,240,266,8,3313,113,151,8
CN05,14,302,937,1554,4651,45,16812,1364,2018,60
CN06,3,96,851,2456,4638,50,8560,1345,1735,31
CN07,2,491,131,265,645,23,10348,275,421,23
CN08,4449,14,1340,994,1207,163,1143,13205,866,457
CN09,52,172,983,782,973,13537,607,575,14705,31
CN10,76,52,13750,438,847,9,528,568,427,38
