mode,class,precision,recall,f1,support,n_seeds
graph,0,0.9265946760421899,0.9118773946360154,0.918805315808668,174.0,3
graph,1,0.9001240229177251,0.9158249158249158,0.9073434130597776,198.0,3
graph,2,0.913873442410519,0.8954248366013072,0.9042611109897304,204.0,3
graph,3,0.9049855858397905,0.8970588235294117,0.9005352314790858,204.0,3
graph,4,0.9174455717586776,0.869281045751634,0.8925694071698825,204.0,3
graph,5,0.8570945374598343,0.9199346405228758,0.8873759499471218,204.0,3
graph,6,0.8970207943726857,0.9023569023569022,0.8992816990295015,198.0,3
graph,7,0.9255251331768033,0.9137931034482758,0.9181994740137952,174.0,3
graph,8,0.9079479893223112,0.9166666666666666,0.9116122982904565,156.0,3
graph,9,0.9243021427980475,0.9102564102564102,0.9171211974851025,156.0,3
graph,10,0.9301378698701926,0.9380341880341881,0.9340672757982134,156.0,3
grid2d,0,0.9980842911877396,0.9942528735632185,0.9961575089141365,174.0,3
grid2d,1,0.9916247906197655,0.9932659932659932,0.9924390736430401,198.0,3
grid2d,2,0.991861948031245,0.9950980392156863,0.9934760375217732,204.0,3
grid2d,3,0.9983579638752053,0.9934640522875817,0.9959049959049958,204.0,3
grid2d,4,0.9950572341544311,0.988562091503268,0.991781651077757,204.0,3
grid2d,5,0.9871943760548768,0.9967320261437909,0.9919052654067123,204.0,3
grid2d,6,0.9982993197278912,0.9949494949494949,0.9966159052453468,198.0,3
grid2d,7,0.9942964123998607,0.9980842911877396,0.9961795292829776,174.0,3
grid2d,8,0.9957263201150606,0.9957264957264957,0.9957196031900941,156.0,3
grid2d,9,1.0,0.9978632478632479,0.9989281886387996,156.0,3
grid2d,10,0.9978768577494691,1.0,0.9989350372736955,156.0,3
grid3d,0,1.0,1.0,1.0,174.0,3
grid3d,1,1.0,0.9983164983164983,0.99915611814346,198.0,3
grid3d,2,0.9951219512195122,1.0,0.9975550122249389,204.0,3
grid3d,3,1.0,0.9950980392156863,0.9975389630562045,204.0,3
grid3d,4,0.9983579638752053,0.9967320261437909,0.9975429975429976,204.0,3
grid3d,5,0.9935430658654413,1.0,0.9967519140506487,204.0,3
grid3d,6,1.0,0.9949494949494949,0.9974640707661333,198.0,3
grid3d,7,0.9980952380952383,1.0,0.9990448901623686,174.0,3
grid3d,8,0.9978768577494691,1.0,0.9989350372736955,156.0,3
grid3d,9,1.0,0.9978632478632479,0.9989281886387996,156.0,3
grid3d,10,1.0,1.0,1.0,156.0,3
none,0,0.6999857503289997,0.6628352490421455,0.6799192841198295,174.0,3
none,1,0.7655257005499028,0.7643097643097643,0.764457541747654,198.0,3
none,2,0.7536012676462115,0.6650326797385621,0.70653769249202,204.0,3
none,3,0.7336227165852777,0.69281045751634,0.7126155311243187,204.0,3
none,4,0.7035495206340153,0.7173202614379086,0.7099319325654597,204.0,3
none,5,0.7088983322264847,0.6960784313725491,0.7023528818414735,204.0,3
none,6,0.7214769528501055,0.6818181818181818,0.70061341965714,198.0,3
none,7,0.6935175282234106,0.6992337164750957,0.6942544557439323,174.0,3
none,8,0.6952048547743583,0.7991452991452991,0.7420092928389944,156.0,3
none,9,0.7237677606066254,0.782051282051282,0.751436684134188,156.0,3
none,10,0.7438915641162832,0.8162393162393163,0.7782459771814395,156.0,3
