feature,hr,ci_lower,ci_upper,z,p,n,events,q
dist_H02_H03,1.2928088116318062,1.076364923367385,1.5527769320130251,2.7471424189465723,0.006011702322561271,200,112,0.8059030089013389
disp_H07_kde_summary,1.2536393416682274,1.0274984083415095,1.5295513708046449,2.227243254381857,0.025931020733771182,200,112,0.8059030089013389
dist_H02_H05,0.8063157948777696,0.6643721091526067,0.9785858739594241,-2.179073358181809,0.0293262190516371,200,112,0.8059030089013389
dist_H04_H08,0.8063862175253408,0.6563595446198662,0.9907050749013282,-2.048876056931507,0.04047423614219931,200,112,0.8059030089013389
inter_H09_H01,1.2260495640830644,1.008760135987142,1.4901436723778627,2.047595712941357,0.0405996297695768,200,112,0.8059030089013389
inter_H01_H09,1.2260495640830644,1.008760135987142,1.4901436723778627,2.047595712941357,0.0405996297695768,200,112,0.8059030089013389
dist_H01_H08,0.8199442498092813,0.6745879516789154,0.9966210797599669,-1.993959936188129,0.046156433008458404,200,112,0.8059030089013389
dist_H03_H06,1.2088616625792186,1.0011000083053758,1.459740792258612,1.9713904068747894,0.04867923748794034,200,112,0.8059030089013389
inter_H08_H01,1.1933444372316828,0.9990889173346309,1.4253695753836781,1.9499088827090445,0.05118698022447877,200,112,0.8059030089013389
inter_H01_H08,1.1933444372316828,0.9990889173346309,1.4253695753836781,1.9499088827090445,0.05118698022447877,200,112,0.8059030089013389
dist_H05_H08,0.8232408981987981,0.6755800457637365,1.0031758349241975,-1.928525566713737,0.053789787304250776,200,112,0.8059030089013389
disp_H08_f_function,0.817236179636787,0.6656789795372438,1.0032988780442091,-1.9284944928172405,0.05379364859417812,200,112,0.8059030089013389
disp_H01_j_function,1.2183531720738259,0.9964230030207694,1.4897131513446333,1.925036434071531,0.0542248003275457,200,112,0.8059030089013389
inter_H07_H06,0.8190169963745804,0.6676250236849728,1.0047389126429143,-1.9146256785755267,0.05554025792470325,200,112,0.8059030089013389
inter_H06_H07,0.8190169963745804,0.6676250236849728,1.0047389126429143,-1.9146256785755267,0.05554025792470325,200,112,0.8059030089013389
inter_H07_H07,0.8133260037793497,0.6563983179040548,1.0077709987678207,-1.8891872342515443,0.0588667446650049,200,112,0.8059030089013389
disp_H05_j_function,0.8274419361311645,0.6790055284879973,1.0083278102213458,-1.8777493959279943,0.06041545585818308,200,112,0.8059030089013389
inter_H07_H04,0.8213365825408029,0.6661679814432416,1.0126481617418914,-1.8423158418476728,0.06542896384571913,200,112,0.8059030089013389
inter_H04_H07,0.8213365825408029,0.6661679814432416,1.0126481617418914,-1.8423158418476728,0.06542896384571913,200,112,0.8059030089013389
dist_H07_H10,1.1964371625159207,0.9877560305698999,1.4492059167922722,1.8339862163706806,0.06665604022894318,200,112,0.8059030089013389
inter_H04_H09,0.8378125412075583,0.6928374236226581,1.0131234691891595,-1.8254674300493268,0.06793052182310137,200,112,0.8059030089013389
inter_H09_H04,0.8378125412075583,0.6928374236226581,1.0131234691891595,-1.8254674300493268,0.06793052182310137,200,112,0.8059030089013389
